layers,distance,gamma,error
0.0,2.0,-0.32290000002255326,1.3806185985010266e-05
0.0,3.0,0.8249999999747715,9.370286511645176e-05
0.0,4.0,1.0673999999742065,0.0001588390826521291
0.0,5.0,0.9732999999744258,0.00020363650087684704
0.0,6.0,1.1024999999741247,0.00011743739926650676
0.0,7.0,0.7797999999748768,8.941860737010643e-05
0.0,8.0,0.547999999975417,0.00024719937500794487
0.0,9.0,1.1080999999741117,0.00019075504684096245
0.0,10.0,1.2257999999738374,0.00037887093557742446
1.0,2.0,-0.5233000000220862,2.8794008231081136e-05
1.0,3.0,0.13629999997637654,4.304602646476585e-05
1.0,4.0,0.37579999997581837,0.00024636529768473636
1.0,5.0,0.5838999999753334,0.00013490988172293328
1.0,6.0,0.47049999997559766,0.0002737769709089122
1.0,7.0,0.5702999999753651,7.800915442324197e-05
1.0,8.0,0.9033999999745888,4.499690053805239e-05
1.0,9.0,0.9717999999744293,0.00010466277150378289
1.0,10.0,1.039299999974272,0.00044262320810162237
2.0,2.0,-0.5785000000219576,7.152966256795956e-05
2.0,3.0,0.2507999999761097,0.000101204752486872
2.0,4.0,0.3347999999759139,0.0001230803291929483
2.0,5.0,-0.0004000000233048695,0.00031202523737872264
2.0,6.0,0.230499999976157,0.00031275301449351645
2.0,7.0,0.5975999999753014,0.00033163585220297165
2.0,8.0,0.8255999999747701,0.00037322062783307075
2.0,9.0,0.8818999999746389,0.0001641440553044049
2.0,10.0,0.5573999999753951,0.00022950795067089302
3.0,2.0,-0.7352000000215924,5.77740882254929e-05
3.0,3.0,-0.1546000000229455,7.54581267141674e-05
3.0,4.0,0.3711999999758291,0.00012598993175538808
3.0,5.0,-0.03050000002323472,7.109738651905895e-05
3.0,6.0,0.1986999999762311,0.00026155310434283763
3.0,7.0,0.25479999997610037,0.00030434127348089035
3.0,8.0,0.3073999999759778,0.00014233564328813841
3.0,9.0,0.5096999999755063,0.0003860922364378183
3.0,10.0,0.485799999975562,7.650248786461589e-05
4.0,2.0,-1.3458000000201693,7.771085047370008e-05
4.0,3.0,-0.4437000000222717,0.0002292659495011229
4.0,4.0,0.18619999997626024,2.547656377416274e-06
4.0,5.0,-0.1301000000230026,0.00025250767807794006
4.0,6.0,-0.2341000000227602,2.369680957037268e-05
4.0,7.0,-0.2822000000226481,0.00034936492220172255
4.0,8.0,0.23819999997613905,0.000158527305701206
4.0,9.0,0.4406999999756671,0.00029989136988195497
4.0,10.0,0.6199999999752492,0.00018214960999074492
5.0,2.0,-0.46110000002223117,7.116799702711063e-05
5.0,3.0,-0.24390000002273737,0.00023568585977540302
5.0,4.0,0.0126999999766646,4.11134822768805e-05
5.0,5.0,0.32289999997594165,0.00014354273995076383
5.0,6.0,0.30269999997598873,0.0002725778938446055
5.0,7.0,0.3096999999759724,0.00021770907671392337
5.0,8.0,0.780599999974875,0.0003401103633624558
5.0,9.0,0.7924999999748472,0.00046964298800933335
5.0,10.0,0.9912999999743839,0.0004316937329207349
6.0,2.0,0.12709999997639798,9.546321568870697e-05
6.0,3.0,-0.7364000000215896,0.00014028232719187628
6.0,4.0,0.5902999999753185,0.0002757438284461955
6.0,5.0,0.5331999999754515,0.00013210666391483272
6.0,6.0,0.9409999999745011,1.1056730295777584e-06
6.0,7.0,1.1225999999740779,2.6704860411896902e-05
6.0,8.0,0.7246999999750052,0.00011560766450813276
6.0,9.0,0.6619999999751514,0.0001455215408343591
6.0,10.0,1.6633999999728175,0.00012021830742270367
7.0,2.0,0.4249999999757037,3.9640541291685594e-05
7.0,3.0,1.9843999999720694,0.00012968304277016784
7.0,4.0,0.6071999999752791,0.00015271163900099083
7.0,5.0,0.03259999997661822,0.00017751815356573108
7.0,6.0,0.9038999999745876,0.0003758186866695823
7.0,7.0,0.8535999999747048,0.00027781652461023043
7.0,8.0,0.4134999999757305,0.00021516520927056249
7.0,9.0,0.9188999999745526,0.00022696534003685542
7.0,10.0,1.1030999999741233,3.460812010303016e-05
8.0,2.0,0.4340999999756825,3.168469248548966e-05
8.0,3.0,-0.70190000002167,8.409152567478984e-05
8.0,4.0,0.5009999999755266,0.00020033782651474041
8.0,5.0,0.3096999999759724,4.7079581288134165e-05
8.0,6.0,0.17869999997627772,2.805109979608922e-05
8.0,7.0,0.7944999999748426,0.0003590959787489467
8.0,8.0,0.8359999999747458,0.0003787391120164685
8.0,9.0,0.763399999974915,0.00019428609395433227
8.0,10.0,0.8743999999746563,0.00010200338955002053
9.0,2.0,-0.3267000000225444,0.00014156147495203442
9.0,3.0,0.2564999999760964,0.00022769760511098802
9.0,4.0,0.2531999999761041,0.0001742660358936554
9.0,5.0,0.7110999999750369,0.0002481961052085424
9.0,6.0,0.9802999999744095,0.00019859323471749235
9.0,7.0,0.9336999999745181,2.9983115898524204e-05
9.0,8.0,0.7817999999748722,0.0002482284586013961
9.0,9.0,0.9047999999745855,0.00010644374372859033
9.0,10.0,0.5903999999753182,0.00035701250363384673
