value,distance,layer,delta
-38.169398907103826,1.0,0.0,0.0
-41.486338797814206,1.0,1.0,-3.3169398907103798
-43.710382513661195,1.0,2.0,-5.5409836065573685
-44.80327868852459,1.0,3.0,-6.633879781420767
-46.717850637522766,1.0,4.0,-8.54845173041894
-42.715846994535525,1.0,5.0,-4.546448087431699
-41.13661202185793,1.0,6.0,-2.9672131147541023
-42.510018214936245,1.0,7.0,-4.340619307832419
-42.58943533697632,1.0,8.0,-4.420036429872496
-40.540983606557376,1.0,9.0,-2.3715846994535497
-37.197386857222924,2.0,0.0,0.0
-39.911020036429875,2.0,1.0,-2.7136331792069512
-41.9688524590164,2.0,2.0,-4.771465601793473
-42.59016393442623,2.0,3.0,-5.392777077203306
-42.666666666666664,2.0,4.0,-5.469279809443741
-41.32786885245901,2.0,5.0,-4.130481995236089
-41.51912568306011,2.0,6.0,-4.321738825837187
-43.78943533697632,2.0,7.0,-6.5920484797533945
-43.89617486338798,2.0,8.0,-6.698788006165053
-39.55737704918033,2.0,9.0,-2.359990191957408
-42.105555555555554,3.0,0.0,0.0
-42.13661202185793,3.0,1.0,-0.03105646630237402
-44.90710382513661,3.0,2.0,-2.8015482695810547
-44.0655737704918,3.0,3.0,-1.9600182149362482
-44.60109289617486,3.0,4.0,-2.4955373406193075
-41.55191256830601,3.0,5.0,0.5536429872495461
-37.622950819672134,3.0,6.0,4.48260473588342
-51.978142076502735,3.0,7.0,-9.87258652094718
-39.240437158469945,3.0,8.0,2.8651183970856096
-41.76502732240437,3.0,9.0,0.34052823315118275
-44.59562841530055,4.0,0.0,0.0
-43.748633879781416,4.0,1.0,0.8469945355191371
-45.72595628415301,4.0,2.0,-1.1303278688524543
-47.03825136612022,4.0,3.0,-2.4426229508196684
-47.83888888888888,4.0,4.0,-3.243260473588329
-42.79234972677596,4.0,5.0,1.8032786885245926
-44.690296406689846,4.0,6.0,-0.0946679913892936
-46.1655737704918,4.0,7.0,-1.5699453551912441
-45.605555555555554,4.0,8.0,-1.0099271402550016
-42.0655737704918,4.0,9.0,2.53005464480875
-44.97267759562842,5.0,0.0,0.0
-45.56775956284153,5.0,1.0,-0.5950819672131118
-43.707898658718335,5.0,2.0,1.2647789369100835
-44.59016393442622,5.0,3.0,0.38251366120219643
-45.8087431693989,5.0,4.0,-0.8360655737704832
-44.97267759562842,5.0,5.0,0.0
-44.86338797814208,5.0,6.0,0.10928961748633981
-42.73770491803279,5.0,7.0,2.2349726775956285
-44.75409836065574,5.0,8.0,0.21857923497267961
-45.51111111111111,5.0,9.0,-0.5384335154826942
-46.748633879781416,6.0,0.0,0.0
-45.14781420765027,6.0,1.0,1.600819672131145
-45.50433389862445,6.0,2.0,1.2442999811569635
-46.34972677595628,6.0,3.0,0.39890710382513817
-44.89617486338798,6.0,4.0,1.8524590163934391
-45.071038251366126,6.0,5.0,1.6775956284152898
-48.459016393442624,6.0,6.0,-1.7103825136612087
-49.543351548269584,6.0,7.0,-2.7947176684881683
-43.9799635701275,6.0,8.0,2.7686703096539134
-48.16939890710382,6.0,9.0,-1.4207650273224033
-44.759562841530055,7.0,0.0,0.0
-46.30601092896175,7.0,1.0,-1.546448087431692
-48.76102003642987,7.0,2.0,-4.001457194899814
-46.95628415300546,7.0,3.0,-2.1967213114754074
-44.333333333333336,7.0,4.0,0.42622950819671956
-45.333333333333336,7.0,5.0,-0.5737704918032804
-50.623655913978496,7.0,6.0,-5.864093072448441
-49.72349726775956,7.0,7.0,-4.963934426229507
-49.304098360655736,7.0,8.0,-4.544535519125681
-48.43169398907104,7.0,9.0,-3.6721311475409877
-43.11857923497268,8.0,0.0,0.0
-49.6448087431694,8.0,1.0,-6.526229508196721
-51.166666666666664,8.0,2.0,-8.048087431693986
-47.5792349726776,8.0,3.0,-4.4606557377049185
-48.86885245901639,8.0,4.0,-5.75027322404371
-49.76502732240437,8.0,5.0,-6.646448087431693
-47.681420765027326,8.0,6.0,-4.562841530054648
-46.24408014571949,8.0,7.0,-3.1255009107468084
-50.138888888888886,8.0,8.0,-7.0203096539162075
-47.60109289617486,8.0,9.0,-4.482513661202184
-48.743169398907106,9.0,0.0,0.0
-50.759562841530055,9.0,1.0,-2.016393442622949
-52.12568306010929,9.0,2.0,-3.382513661202182
-49.666666666666664,9.0,3.0,-0.9234972677595579
-50.92349726775956,9.0,4.0,-2.1803278688524514
-50.278688524590166,9.0,5.0,-1.5355191256830594
-47.45355191256831,9.0,6.0,1.2896174863387984
-51.27877959927141,9.0,7.0,-2.535610200364303
-49.87431693989071,9.0,8.0,-1.131147540983605
-49.17486338797814,9.0,9.0,-0.43169398907103584
-50.42777777777778,10.0,0.0,0.0
-51.87978142076503,10.0,1.0,-1.4520036429872505
-49.284153005464475,10.0,2.0,1.1436247723133022
-49.66120218579235,10.0,3.0,0.7665755919854291
-52.91803278688525,10.0,4.0,-2.4902550091074716
-52.62841530054644,10.0,5.0,-2.200637522768666
-57.77049180327868,10.0,6.0,-7.342714025500904
-53.540983606557376,10.0,7.0,-3.1132058287795985
-51.333333333333336,10.0,8.0,-0.9055555555555586
-46.44462659380692,10.0,9.0,3.983151183970854
